indicID,name,period_data,data_value
2070116053,广汽传祺GA8,2016/8/31,448
2070116053,广汽传祺GA8,2016/7/31,476
2070116053,广汽传祺GA8,2016/6/30,509
2070116053,广汽传祺GA8,2016/5/31,215
2070105609,广汽传祺GA6,2016/8/31,1352
2070105609,广汽传祺GA6,2016/7/31,756
2070105609,广汽传祺GA6,2016/6/30,1088
2070105609,广汽传祺GA6,2016/5/31,1102
2070105609,广汽传祺GA6,2016/4/30,1042
2070105609,广汽传祺GA6,2016/3/31,650
2070105609,广汽传祺GA6,2016/2/29,138
2070105609,广汽传祺GA6,2016/1/31,239
2070105609,广汽传祺GA6,2015/12/31,424
2070105609,广汽传祺GA6,2015/11/30,425
2070105609,广汽传祺GA6,2015/10/31,659
2070105609,广汽传祺GA6,2015/9/30,719
2070105609,广汽传祺GA6,2015/8/31,397
2070105609,广汽传祺GA6,2015/7/31,318
2070105609,广汽传祺GA6,2015/6/30,302
2070105609,广汽传祺GA6,2015/5/31,942
2070105609,广汽传祺GA6,2015/4/30,1642
2070105609,广汽传祺GA6,2015/3/31,2129
2070105609,广汽传祺GA6,2015/2/28,1022
2070105609,广汽传祺GA6,2015/1/31,725
2070105609,广汽传祺GA6,2014/12/31,10
2070109755,广汽传祺GA5,2016/8/31,322
2070109755,广汽传祺GA5,2016/7/31,418
2070109755,广汽传祺GA5,2016/5/31,571
2070109755,广汽传祺GA5,2016/4/30,320
2070109755,广汽传祺GA5,2016/3/31,200
2070109755,广汽传祺GA5,2016/2/29,124
2070109755,广汽传祺GA5,2016/1/31,206
2070109755,广汽传祺GA5,2015/12/31,364
2070109755,广汽传祺GA5,2015/11/30,61
2070109755,广汽传祺GA5,2015/10/31,183
2070109755,广汽传祺GA5,2015/9/30,178
2070109755,广汽传祺GA5,2015/8/31,243
2070109755,广汽传祺GA5,2015/7/31,136
2070109755,广汽传祺GA5,2015/6/30,47
2070109755,广汽传祺GA5,2015/5/31,38
2070109755,广汽传祺GA5,2015/4/30,29
2070109755,广汽传祺GA5,2015/3/31,45
2070109755,广汽传祺GA5,2015/2/28,262
2070109755,广汽传祺GA5,2015/1/31,193
2070109755,广汽传祺GA5,2014/12/31,187
2070109755,广汽传祺GA5,2014/11/30,108
2070109755,广汽传祺GA5,2014/10/31,301
2070109755,广汽传祺GA5,2014/9/30,194
2070109755,广汽传祺GA5,2014/8/31,114
